Cj	qSK	LSC-2	CE	LSC-1	Mel	CF	Ves	MC	SK	IC	nm-cSC	LE	EC	TSK	hnESC	average
CFAP46	34309	2613	14423	30735	2444	375	4981	240	0	4832	0	0	9593	2334	1819	32366	8816
LINC01166	1738	0	100	340	0	0	0	0	0	0	0	0	0	0	0	1291	216
LINC01167	1212	0	626	890	0	18	0	0	0	0	0	0	298	0	0	60	194
LINC01168	1944	61	27	1114	66	0	0	69	0	0	0	0	216	0	0	0	218
ADGRA1	60	0	0	248	0	0	312	0	0	0	0	0	0	0	0	464	67
KNDC1	1478	9943	1077	804	1324	381	4832	0	171	2343	461	0	933	4399	479	6045	2167
UTF1	662	0	95	560	0	0	153	0	0	0	1415	0	192	388	0	1524536	95500
VENTX	252	193	0	375	0	0	0	0	0	0	3143	0	293	0	0	160761	10313
AL592071.1	3177	275	699	1226	532	315	473	261	0	0	102	0	5163	1854	0	325	900
ADAM8	127105	5921	69036	251022	7989	1900	2937	1453	790	2455	20046	669	90369	4482	528	5535	37015
TUBGCP2	384210	155693	234114	468927	111189	22771	182493	20591	8049	104182	19463	3272	226773	42508	30041	179572	137116
AL360181.2	866	172	549	801	329	0	245	0	0	0	0	0	297	0	0	902	260
ZNF511	319121	131879	206304	375629	118860	20690	192167	8186	8735	98735	11950	2544	411480	21812	48567	444932	151349
CALY	1184	6613	359	731	1455	241	17908	0	134	2547	2184	0	1450	18936	1572	52120	6715
PRAP1	40	0	0	28	0	0	796	0	0	0	0	0	0	0	0	114887	7234
FUOM	36626	58281	4808	6212	18018	8721	129691	3012	2723	50353	5787	1110	35190	15258	20403	326633	45177
ECHS1	1429844	523105	689836	1464718	304889	70171	394749	33510	16842	373290	18898	4729	935247	139744	96525	534002	439381
PAOX	70540	21428	33670	81321	12766	2145	15848	2050	745	11918	1248	131	62278	7342	4292	10774	21156
MTG1	181802	97786	132093	183247	82054	20715	75777	14297	4717	50293	6410	709	205922	21391	21311	34938	70841
SCART1	3180	3072	3856	2623	1140	0	2351	17	0	0	333	302	1890	425	550	359	1256
CYP2E1	6571	2205	1504	1190	1210	69	3177	423	220	442	576	0	1447	249	1017	36878	3574
SYCE1	111	2327	473	973	421	0	61	0	0	150	91	0	694	0	0	12682	1124
LINC01001	79999	10542	30963	58770	25674	868	9475	1662	1383	3565	6791	539	12631	2521	619	63664	19354
BET1L	117877	100224	46829	127729	46313	9908	107620	4332	4294	67826	6265	590	107455	17552	28325	85660	54925
AC069287.2	1011	2643	831	1094	17	219	890	182	0	3140	0	0	355	1102	0	0	718
RIC8A	179949	110368	161841	169913	88093	18520	119653	14577	6169	70574	10391	1934	225943	44226	25811	130689	86166
SIRT3	91386	66212	70580	99312	39657	5898	33753	4934	981	30906	2604	211	84882	23371	7132	22881	36544
PSMD13	536163	292857	270890	549924	153313	42698	288960	39221	16506	212301	23733	5046	339867	42438	107818	385085	206676
PGGHG	15946	27470	5986	6001	19692	4988	27755	7198	4151	6600	9195	1559	13208	4571	1063	40213	12225
IFITM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1153	72
IFITM2	363044	2266379	28254	69008	263224	72902	2290828	441516	210383	2257751	96451	23534	372274	129204	486016	625620	624774
AC136475.2	0	133	63	0	234	0	0	0	0	0	0	0	0	0	0	165	37
IFITM1	52886	808590	42839	7017	251353	15476	499656	74127	73630	261115	40586	109	217259	473	57332	368276	173170
AC136475.1	12366	5572	6717	8732	7412	1407	2792	1124	473	550	216	90	6941	8525	183	707	3988
IFITM3	1821592	8665296	931610	392845	2380413	264174	12323814	1125029	638864	6643543	76378	73654	4272548	446775	2454016	842898	2709591
AC136475.5	364	846	459	136	1583	229	1439	1402	341	431	398	0	1366	0	0	98	568
AC136475.9	0	70	0	0	744	0	816	900	0	0	351	0	0	0	0	2274	322
B4GALNT4	3761	3347	1477	1125	12182	5636	8436	0	0	1100	369	961	4402	23383	0	23335	5594
PKP3	879357	12709	731409	1250014	221966	11375	8933	6703	1294	2786	6224	0	1709449	1942	956	168064	313324
SIGIRR	459669	309093	191973	452601	136528	136222	247281	39351	15366	192622	25752	6216	295610	170885	63633	529444	204515
ANO9	90915	2255	108960	150273	30112	783	1454	1405	64	1332	4487	0	52568	4511	0	4283	28338
PTDSS2	82134	85281	64299	77459	36504	24301	80721	5758	5510	34980	2177	1170	70693	21643	28534	277178	56146
AC138230.1	888	51	410	1505	546	0	660	61	0	0	0	0	396	814	0	2800	508
RNH1	2263562	1434411	1022007	2610261	550791	179533	1297489	105342	50423	939490	61026	15565	1591385	150505	339602	348109	809969
AC137894.3	3281	2490	1684	1533	872	134	1501	795	80	1797	622	289	977	1232	422	0	1107
HRAS	1759264	264469	883388	1885437	446623	56890	239707	29389	11660	301491	15380	3820	1383893	78702	99534	126453	474131
LRRC56	12302	2639	9788	14120	3669	1032	1997	399	173	2001	197	0	9048	4425	503	24240	5408
LMNTD2	60770	7931	32900	50962	14573	1428	6164	2350	313	1053	1905	160	35403	8948	794	15291	15059
AP006284.1	20626	2019	7674	13033	8000	311	640	505	0	1495	362	0	17916	13862	89	11666	6137
RASSF7	554398	25793	255403	463455	102631	10462	25669	9426	417	11873	7813	352	254761	57061	4346	130143	119625
MIR210HG	237887	50060	111346	251317	39275	2430	70015	3838	919	8149	3114	152	168034	35865	2961	11337	62294
PHRF1	130254	70765	96247	126200	48128	7194	69305	7473	3609	48775	6021	1674	101157	25302	19065	109780	54434
IRF7	258576	104003	133515	370855	77232	14015	80235	16539	6504	102679	14918	1623	199985	37858	33904	45281	93608
CDHR5	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
SCT	172	146	0	86	0	0	2804	367	64	0	0	0	0	0	0	1580	326
DRD4	6505	129	450	1281	769	264	9669	167	511	0	195	0	1109	0	0	6333	1711
DEAF1	169050	68708	63885	166943	45274	19307	112085	13086	5643	33016	3730	601	90379	28989	11662	94302	57916
AC131934.1	331	0	213	452	145	0	407	0	0	0	0	0	26	822	0	227	164
EPS8L2	894991	20270	422075	1053165	156372	10869	34907	9369	1436	5601	10682	644	360801	117822	585	86927	199157
TMEM80	156493	49950	44445	169316	49449	12482	76668	8803	4944	25888	5167	2826	64239	5982	5660	12127	43403
TALDO1	2562973	472519	1065543	2505875	372198	157722	1078980	44371	23259	424319	41232	9763	1438060	48940	219784	1389292	740927
GATD1	59874	46256	37787	54979	25255	8245	57984	4583	2148	31542	2848	503	43167	16217	10433	58607	28777
AP006621.3	68412	32932	18567	42649	16820	4068	72971	1583	1801	23162	2062	776	35581	19404	6780	10211	22361
CEND1	0	556	0	47	0	0	4686	0	1050	0	0	0	0	37226	0	12739	3519
SLC25A22	59651	24222	34240	45205	30628	2344	34126	4602	822	18172	2833	534	50952	31208	7830	128041	29713
PANO1	5052	3376	2175	3444	2842	258	5814	39	464	3011	310	0	5527	6980	495	1755	2596
PIDD1	67330	21577	59673	56201	28963	3143	41659	5178	1018	4838	2319	192	26777	22275	2128	110022	28331
RPLP2	22039702	5438818	14757680	16762207	12226451	2094132	10895677	1581425	568865	4901273	1248313	62212	38928151	884700	3307983	9934970	9102035
PNPLA2	574017	336112	257015	524463	129325	33078	292531	53463	13930	185196	16401	6461	326428	95744	77499	42012	185230
CRACR2B	77710	7624	7107	17058	9514	792	5883	16287	166	3517	2019	231	13083	49351	977	97069	19274
CD151	1118918	570727	691740	998455	319120	89599	1108663	121024	59687	325215	20818	8556	995291	62266	135709	348248	435877
POLR2L	4411316	4035696	3306838	4962771	968495	246317	2104892	224938	105656	3004213	86570	20661	4698066	955333	544906	1012021	1918043
TSPAN4	100021	562201	280263	78289	104168	127231	453863	73031	18642	213381	10287	4437	238919	47353	29746	125300	154196
AP006623.1	11925	20565	23574	8938	17117	2825	18483	2501	86	11663	1242	118	72043	12670	2163	5567	13218
CHID1	354378	356167	172713	278464	138624	41861	365826	13703	5536	168197	9876	1664	329968	32621	40913	224692	158450
AP2A2	348883	218748	210225	454444	82995	25452	148276	34619	6235	89161	17882	2594	241104	34457	14163	82988	125764
LINC02688	3540	356	268	253	220	0	647	320	0	0	409	0	69	641	0	0	420
MUC5AC	2919	458	0	1205	119	387	0	0	172	0	143	0	248	0	477	0	383
MUC5B	102	128	0	121	0	0	0	0	0	0	0	0	0	0	0	1149	93
TOLLIP	490403	151021	209491	550911	133273	47215	158831	13400	5569	165127	10225	1453	568151	23809	62798	154297	171623
TOLLIP-AS1	48991	34210	24216	72092	10922	5563	11054	2384	440	16824	1741	448	30694	9015	1898	5960	17278
AC136297.1	666	0	206	739	748	0	1955	0	0	0	0	0	570	0	738	0	351
BRSK2	525	99	0	86	254	0	1724	261	1524	311	0	1380	0	293	475	13686	1289
MOB2	465266	176462	318734	548791	163419	33026	167374	41072	18646	206866	12525	2113	493490	15532	59312	152530	179697
DUSP8	113266	5964	21069	51479	39348	6238	22821	3743	2264	1944	8369	6180	36660	12427	4151	23777	22481
KRTAP5-AS1	2025	200	294	168	252	286	0	0	0	0	328	0	323	1212	146	637	367
IFITM10	260368	67225	288863	362750	16837	4221	53964	3145	808	49607	7036	755	288738	9246	22911	0	89780
CTSD	5100831	906776	1654485	2619485	635958	407821	1251784	89948	52731	241463	150502	13260	1968445	232335	460225	647125	1027074
SYT8	6739105	82929	3905803	6825891	595418	39548	32683	54556	8554	23911	43205	3958	3382696	2048	1853	358	1358907
TNNI2	1280210	21252	571568	659019	118989	7264	8781	9367	2114	971	13825	976	107149	3413	135	226	175329
LSP1	1445485	519761	49581	236525	237409	6651	323246	6764	2041	186010	79875	192	142288	5487	19043	1387	203859
PRR33	494	460	0	121	22	0	112	0	0	0	0	0	0	0	0	0	75
TNNT3	1106333	11335	159056	1298014	70992	5082	43277	6986	2056	6395	4631	651	396016	5662	856	316	194854
MRPL23	510474	176281	372062	475523	240094	44188	142494	16400	9778	151826	16862	3220	511813	50207	56302	484664	203887
MRPL23-AS1	944	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	66
LINC01219	3783	270	0	312	146	56	2584	0	0	0	0	0	0	397	0	0	471
H19	6010699	69711	807506	7080705	199993	22532	119214	42828	15428	51641	29935	1705	1221010	58032	3056	0	983375
IGF2	22705	1620	550	3874	469	266	37461	2936	318	141	0	0	994	11687	286	0	5207
AC132217.1	555	528	0	0	0	0	4791	0	0	0	0	0	0	3211	111	0	574
IGF2-AS	46	0	0	35	0	0	2642	0	0	0	0	0	213	691	0	399	251
TH	635	0	14661	975	21	0	174	0	0	0	0	0	10885	0	0	346	1731
ASCL2	134282	2239	288128	98286	100833	2469	1929	1184	0	2458	3667	292	230272	187	894	7937	54691
C11orf21	0	441	0	0	0	0	0	0	0	0	2879	0	0	0	0	0	207
TSPAN32	27	4826	0	66	0	0	2340	0	540	1600	2408	284	0	624	0	0	794
CD81-AS1	517	686	28	475	0	0	739	0	145	686	0	0	662	0	758	198	306
CD81	2230119	4580626	719522	1267444	873927	369494	3793217	281028	268824	1075049	145174	57805	713189	251597	528143	3121201	1267272
TSSC4	366038	218056	206727	403090	155729	29506	194503	26896	7990	340316	11828	2457	572795	49298	105705	221760	182043
TRPM5	10351	0	106	15050	44	259	151	0	0	0	226	0	272	0	0	83	1659
KCNQ1	107207	396	1336	86924	2154	0	1931	788	339	0	6829	0	5519	805	116	0	13396
KCNQ1OT1	730511	735249	218732	437122	151043	21615	628491	40354	19257	180284	49496	28040	119166	456061	76869	176159	254278
KCNQ1-AS1	188	1389	38	0	75	100	313	0	0	1642	93	0	0	196	0	0	252
CDKN1C	922707	1123511	186052	773428	144286	74145	443691	53340	23572	319878	28275	12183	112661	296749	51937	82775	290574
SLC22A18AS	18710	875	13768	38493	1083	340	472	592	326	435	1451	0	42807	1776	0	5006	7883
SLC22A18	263257	86113	116026	251960	52554	22833	63115	3667	4051	32096	8612	1005	163052	30076	6950	33775	71196
PHLDA2	15478756	661875	5001085	17974506	990652	133389	1796951	92573	40877	1476046	129071	2495	20115256	100455	946804	510091	4090680
NAP1L4	643758	297093	468490	697398	204473	32971	238127	34736	10334	257475	26894	4776	411178	49454	56650	423700	241094
CARS	151349	109445	93814	237996	37062	9456	230063	12283	2918	96358	5540	1240	71729	7176	36592	150914	78371
OSBPL5	73999	41354	77132	90634	28218	6868	61179	12660	3890	7892	1883	0	33545	6664	2114	7072	28444
MRGPRE	295	63	0	0	0	0	789	0	0	0	0	0	0	0	0	0	71
ZNF195	128774	63981	74298	88328	58879	4198	75779	11582	2592	70014	4531	562	70947	11115	28882	83972	48652
AC127526.5	621006	6672	330593	996478	214948	5734	5763	5449	716	12010	4572	0	867161	0	0	0	191944
AC127526.2	958	332	213	2909	502	384	489	0	0	0	0	0	742	0	0	0	408
AC127526.4	7184	734	4172	11305	2790	98	110	134	87	0	626	0	14733	212	81	0	2642
ART5	421	28748	796	221	12912	668	11858	0	0	10930	47	0	10201	0	2809	26900	6657
CHRNA10	6467	8865	4904	4866	3402	211	1849	190	263	6193	813	136	9997	1482	443	3981	3379
NUP98	288922	150276	143159	260718	118172	17042	138483	20873	6121	134894	20592	2590	193920	18717	45129	84635	102765
PGAP2	168024	22882	96649	176174	78303	5870	33954	8799	1009	13282	3520	441	174613	5354	2246	68868	53749
RHOG	309311	96911	136774	307510	119848	34329	216746	29604	5794	125309	54182	1583	469568	11517	65416	102414	130426
AC090587.1	4372	581	2360	8542	955	167	758	38	51	321	0	0	8097	0	98	272	1663
STIM1	312162	32086	75792	241855	78077	8074	47842	11583	7009	12828	9143	1632	154955	14825	3482	13322	64042
AC090587.2	878	82	257	928	136	0	0	0	0	0	0	0	0	0	0	0	142
RRM1	237322	87188	218378	197785	155464	11983	95921	11470	2970	30437	5019	1324	219358	11058	12256	110288	88014
RRM1-AS1	48	304	0	62	99	0	147	0	147	0	230	0	0	0	0	461	93
LINC02749	0	1208	372	306	0	75	678	0	0	309	0	0	512	0	0	0	216
TRIM21	32394	13830	18352	31663	10427	1134	19937	2776	1067	7151	3146	915	27329	867	2666	233	10868
OR52I1	647	1258	447	762	366	486	326	90	166	423	0	0	105	0	0	330	338
TRIM68	31159	20014	17035	27084	15869	1575	15423	1719	943	7026	265	244	14669	1654	2995	9750	10464
OR51E1	0	0	0	0	55	0	15	1281	1977	0	0	0	0	5241	0	0	535
OR51E2	0	0	0	0	0	0	0	0	0	0	0	0	0	6064	0	4	379
OR52A1	433	224	284	454	202	0	0	0	41	0	171	0	0	0	0	56	116
HBB	90082	54992	11713	2968951	20870	4499	18873	61527	7393	280	72808	1270	666	3860	0	0	207361
HBD	654	472	113	39451	331	0	0	0	0	0	0	0	82	0	0	0	2569
HBG1	1730	2945	69	609	1391	310	11731	785	4074	0	0	0	0	0	0	0	1478
HBG2	4967	4111	737	3323	3233	85	23107	1433	9959	0	297	0	324	0	0	28	3225
AC104389.5	6299	3957	6693	8288	1982	63	2257	699	0	1551	0	0	1219	612	770	0	2149
OR51B5	1333	104	124	875	104	0	175	0	0	0	0	0	1103	0	0	117	246
OR51M1	1211	1861	609	1013	161	116	944	103	0	0	589	0	0	0	0	0	413
UBQLNL	3388	645	4118	3631	1175	0	978	509	0	0	77	0	819	462	0	0	988
OR52H1	351	350	112	231	522	26	117	0	0	0	0	0	0	0	0	0	107
TRIM6	40538	6370	22705	52030	7456	863	6457	2580	607	1088	204	0	13595	808	0	38948	12141
TRIM34	63408	6074	41100	90894	13796	1577	12442	2403	669	2871	2261	0	35920	820	377	147	17172
TRIM5	72142	37840	53768	91775	20602	2311	45430	7112	2081	20587	2621	109	55655	4902	5561	12324	27176
TRIM22	380370	118031	236930	370558	69928	3410	119061	33864	8214	69383	26653	1550	131725	21838	19425	34489	102839
OR52N4	1882	212	1436	1618	165	0	165	26	0	0	267	0	270	161	0	0	387
OR52N1	0	361	0	72	128	0	0	567	0	0	0	0	0	0	0	215	84
AC022762.2	1583	2219	1949	879	425	165	1892	143	0	640	175	0	952	1687	267	794	861
FAM160A2	120495	47200	126853	140868	73792	7032	57552	18604	3049	30300	4404	1023	207644	8441	7162	28682	55194
CAVIN3	119265	787265	292826	107850	79672	77689	439263	52356	70874	450320	3330	19601	302437	11219	62693	92343	185563
AC068733.3	291	1674	386	402	1003	0	1249	0	597	0	0	0	688	0	0	79	398
SMPD1	84705	142710	74680	98641	55920	33245	148869	10178	3422	60917	5965	627	178292	33255	16900	23808	60758
APBB1	15379	76681	22133	6395	35779	13505	57825	5925	5893	26014	2222	1790	41304	18080	8639	8744	21644
HPX	2379	3316	2035	1556	1502	73	1797	57	0	949	0	0	765	197	321	521	967
TRIM3	26376	34899	20223	28160	21602	9479	29099	6575	1635	14643	2332	332	24060	6730	4701	18601	15590
ARFIP2	312193	112069	212330	292428	117216	18185	178203	14340	7103	104446	5998	1930	371370	19694	40069	148588	122260
TIMM10B	394430	156989	227981	518947	111803	24931	201013	13860	5534	161634	16867	821	387810	35685	84488	175943	157421
DNHD1	30121	28979	29931	33864	10596	1304	20184	3492	867	11363	1691	0	12572	9856	4838	4044	12731
RRP8	176387	91591	94044	193700	59308	19858	109513	9009	4182	82190	8318	1930	150695	19190	33592	66031	69971
ILK	288138	277666	212202	320673	92564	93878	251917	22442	25098	176160	15208	6193	256064	67685	30203	206512	146413
TAF10	849693	282287	220064	705944	112775	39515	438300	32864	10934	249702	35177	2137	492265	68198	144462	1063678	296750
TPP1	187032	81069	121861	141652	81657	91273	143146	23057	5033	21058	38557	3792	175161	6770	15672	57030	74614
DCHS1	833	16239	418	594	2348	5461	32823	10016	984	1568	426	0	40	570	1226	11018	5285
AC091564.5	0	0	0	0	0	0	682	726	0	0	0	0	0	0	0	0	88
MRPL17	479698	267646	298355	558686	123341	27403	316519	27872	4077	326071	9720	2227	403587	45022	86893	722500	231226
AC087280.2	517	572	263	695	137	0	300	226	0	0	142	0	822	0	330	545	284
ZNF215	3976	5313	7527	8326	3177	257	6846	1018	0	4812	667	0	3424	606	1530	11213	3668
ZNF214	9710	18918	17053	13128	9037	1619	8837	1432	207	11541	435	0	3578	2517	3561	495	6379
NLRP14	196	1022	2079	1183	873	0	0	114	0	629	0	0	0	0	0	0	381
RBMXL2	0	233	645	556	283	0	0	80	0	0	0	0	0	0	0	5184	436
AC107884.1	7981	3732	5823	3547	5080	803	4006	359	100	592	219	0	2097	0	449	0	2174
OLFML1	921	236835	626	2706	55	590	42413	1598	4622	83841	187	0	217	45618	226	1801	26391
PPFIBP2	144140	41332	70910	112889	77092	15979	28647	1241	2710	14812	3633	1607	88399	8555	5908	1791	38728
CYB5R2	69736	223708	51131	43147	50167	8871	53231	1268	2148	167807	3064	3807	158497	7170	26271	12619	55165
OVCH2	2392	92	242	1089	1384	9	0	0	0	0	0	0	0	0	0	0	325
AC104237.3	4051	0	1879	1606	2926	8	144	0	0	0	0	0	470	0	0	0	693
AC044810.2	8725	206	1565	5453	3360	10	304	0	167	0	278	0	2667	0	0	0	1421
OR5P2	692	0	164	1055	426	0	44	71	0	0	0	0	0	0	0	0	153
NLRP10	1499	0	129	8405	89	0	5780	187	0	0	0	0	1408	0	0	196	1106
EIF3F	1712379	744629	1066585	1311252	1003515	228562	1436586	126369	59023	539936	92994	14025	2339313	69957	302372	1489369	783554
TUB	1900	12162	843	1011	6951	1973	17976	238	163	3244	0	65	579	11172	803	10729	4363
RIC3	416122	167994	217325	397772	160333	8286	65964	7158	2084	68215	8796	976	191241	27404	39982	40962	113788
LMO1	11459	171	1394	1235	3550	132	981	0	944	0	84	0	4553	0	0	40502	4063
STK33	299	161	639	309	0	0	3856	851	535	0	460	0	246	4570	0	28149	2504
TRIM66	52666	28531	51788	65614	17117	3625	27484	5808	1249	3520	2662	1022	7572	5380	865	6793	17606
RPL27A	16219539	3515671	12388958	11503983	9981999	1983883	4553310	1128379	510835	1632826	823506	54874	29741469	391053	853730	6338251	6351392
ST5	151657	86596	137828	51589	200492	45801	137498	2698	18607	37593	3497	4858	138856	57990	10733	33304	69975
AC091053.1	499	1454	121	157	75	0	170	0	135	383	0	0	805	989	0	120	307
AC026894.1	573	1421	1014	110	323	76	513	0	156	0	0	0	782	128	252	111	341
AKIP1	177761	123284	176740	164871	67613	15913	108470	9051	4132	100091	6053	1298	220232	18121	15722	70318	79979
TMEM9B	1049762	303868	425303	1039198	222121	59916	177248	25968	4720	345776	28585	4028	745588	42625	57272	183750	294733
TMEM9B-AS1	27236	20138	23978	17906	23378	4327	16656	1033	913	3461	2469	367	35738	8013	1380	259	11703
NRIP3	73963	27996	14186	34484	36270	28692	23868	1209	510	36347	18646	369	118257	36916	20510	70730	33935
AC079296.1	2234	9249	140	602	425	160	1045	0	0	4660	0	0	762	776	330	0	1274
SCUBE2	31523	18602	1550	19189	1608	8048	26350	1105	593	4167	252	0	1248	1632	1440	18597	8494
DENND5A	69159	143279	53594	38193	38876	12193	185400	19189	7399	92514	14917	2920	89475	23895	54407	122989	60525
AP006259.1	506	367	15	149	78	0	445	403	0	0	123	0	0	0	0	0	130
TMEM41B	407772	226349	345049	503844	144994	18253	217053	14389	2624	207564	18151	4505	669553	51588	83904	527276	215179
IPO7	511477	257338	326600	510681	239405	39945	379760	37488	11160	161108	24158	4538	680498	59211	49443	459368	234511
AC132192.1	36566	9158	12781	43778	20918	2935	12368	2530	1220	808	1647	160	27447	388	1730	19379	12113
AC132192.2	31904	12899	24294	38115	18694	1333	19981	2387	445	11144	2915	646	21993	6982	4208	21712	13728
ZNF143	128967	83283	64485	130850	64828	7722	73108	7263	3235	124184	7376	619	118624	11645	24388	47343	56120
WEE1	2141163	504128	1707577	1849314	1072947	46010	215610	28526	4206	426973	22353	2960	1210345	167335	33028	172857	600333
SWAP70	550856	219231	392753	564855	302308	67124	253478	80630	10875	190657	26269	2047	475463	10563	77729	137862	210169
LINC02709	55969	5948	41508	24764	47133	1216	10429	714	118	1729	1856	246	86379	5668	555	0	17764
SBF2-AS1	121008	23291	131493	154294	33889	4452	266272	1750	197	14456	1726	415	134871	23107	1911	34639	59236
SBF2	261532	115235	130878	205350	108621	16825	179324	33739	9824	41701	9199	2886	130254	23883	9577	40212	82440
AC011092.2	627	1291	41	348	8	0	396	0	92	661	0	0	0	0	0	0	216
AC080023.1	631	47	129	1169	395	0	1321	0	0	359	0	0	1875	418	392	0	421
ADM	3877846	476139	2825460	2510990	1730974	54404	1782779	93260	17709	230223	64680	6348	4096785	431508	319911	19285	1158644
AMPD3	474691	13229	296472	858273	45481	3641	92577	5675	166	20593	19335	238	273219	3662	20582	2942	133173
MTRNR2L8	7581703	2210320	864354	5374988	1245099	301211	1039215	1103332	362869	13628	316530	57058	191332	1994	777	90711	1297195
RNF141	728344	87521	422811	740821	135715	16890	114912	15393	5193	45847	10445	2241	683006	15086	13448	128326	197875
MRVI1-AS1	9397	1433	14088	21508	848	379	2784	0	0	1435	89	0	31055	492	0	130	5227
LYVE1	862	400	500	622	323	0	703	90505	130	0	30375	0	0	0	0	389	7800
MRVI1	6951	922	5040	7141	1256	36	27793	3949	41188	641	644	0	25583	1099	0	3540	7861
CTR9	435233	237759	409072	472827	192127	20858	124683	20702	6537	175778	16145	3113	758106	69538	43942	126497	194557
EIF4G2	3417916	1545351	2063410	3495474	1041829	167268	1174195	139262	57981	1287099	148430	19001	4668477	227413	269406	1544232	1329171
AC116535.1	662	435	33	172	0	0	286	0	0	0	0	0	0	0	0	186	111
ZBED5	197115	125487	178664	149420	124993	10467	96185	9760	5038	109935	8212	2327	134338	13942	21827	20298	75501
ZBED5-AS1	351001	64419	308416	393407	59639	9116	30555	6429	1086	47758	5384	520	475289	21450	2383	9363	111639
AC069360.1	2192	3377	2956	3680	872	75	1647	0	81	2426	100	0	3222	0	69	0	1293
GALNT18	172753	22013	194406	542354	42735	6544	19361	46644	3832	13678	3038	1318	284767	11514	2301	12301	86222
CSNK2A3	5115	1207	2907	3697	1367	390	2593	390	0	1065	89	0	1626	0	351	8227	1814
AC023946.1	154	70	0	74	163	0	120	0	0	0	0	0	0	0	0	582	72
AC104031.1	7630	372	9364	27886	1568	91	223	1772	0	330	340	0	14428	0	0	402	4025
USP47	574742	284396	404262	759551	239225	38965	249923	28859	10843	223667	25870	6061	365056	57530	52412	54472	210990
DKK3	927458	1243093	935396	1764936	639512	16705	790009	15688	22423	561092	10729	19072	1167406	7257	414229	3767	533673
LINC02547	274	68	68	213	18	0	270	0	0	0	0	0	0	0	0	66	61
MICAL2	149836	53830	69684	300519	6668	962	237704	3327	2146	24883	6795	0	84441	114515	5719	2011	66440
AC025300.1	903	54	519	868	0	0	95	0	0	0	0	0	937	29	0	0	213
PARVA	100347	452224	180887	61883	80603	64901	446815	20746	21189	234934	1356	3493	178377	50562	54205	23113	123477
TEAD1	193016	334465	157939	149599	75080	61492	394545	30940	13078	105277	2303	5426	81998	62057	27218	48850	108955
AC013549.3	86	352	26	0	0	0	0	0	0	0	0	0	0	0	0	0	29
LINC00958	389406	4468	207517	244224	118866	4847	7094	2683	777	3267	3941	237	489378	0	943	748	92400
RASSF10-DT	286	0	237	112	768	0	12	0	0	0	0	0	0	0	0	0	88
RASSF10	18384	0	19094	7257	28382	521	35	926	0	0	120	496	66936	0	0	0	8884
ARNTL	158939	125461	89159	160009	59863	5422	46285	6104	4060	257284	5953	417	278908	17844	17921	9462	77693
BTBD10	203920	52650	112590	169173	58102	8654	42780	10860	1674	78216	5235	977	183157	7221	16566	28314	61256
AC021269.3	3426	423	957	1073	1404	0	477	33	0	399	335	0	1995	389	236	0	697
FAR1	232948	120163	163697	157953	102256	17476	110917	32335	5547	56886	21093	3683	137871	24421	21956	83541	80796
FAR1-IT1	1016	1267	864	1220	1125	0	1413	631	141	545	1936	0	271	0	0	0	652
LINC02683	919	5156	22	0	0	0	0	0	0	2463	0	0	0	4573	0	0	820
SPON1	280533	91683	36577	41353	39378	9824	151894	2371	530	35639	2775	359	148646	49873	12271	18642	57647
RRAS2	413999	140854	415881	315339	183531	15145	197189	10540	2864	148801	4606	1221	1071061	10434	47929	400144	211221
COPB1	603280	342393	261265	642016	202810	29341	447105	39849	13844	202681	23183	4886	295284	60632	53133	171022	212045
PSMA1	1323282	690481	768164	1322686	465862	88917	729219	88787	36813	657439	50865	7834	1208346	71680	201024	590164	518848
PDE3B	376	30634	384	756	645	12706	9524	509	0	5481	19033	832	292	0	679	330	5136
CYP2R1	86936	38634	50747	93379	28671	3433	36302	3977	1005	33716	3544	543	51618	9314	3688	635	27884
CALCB	0	97	0	0	0	0	1458	0	0	0	509	0	0	654	0	113	177
CALCA	65	0	0	0	0	0	1990	0	427	0	0	228	0	259	1020	308	268
INSC	60	82	42	0	19	207	4285	0	98	0	369	4195	0	0	0	0	585
SOX6	69525	3207	206149	69867	103664	19962	6727	2636	1982	700	1939	6740	159081	0	767	1220	40885
C11orf58	2325097	1142341	1452187	2741523	851001	166808	1056301	116082	51634	1217192	69232	16708	2217748	124921	388608	1031654	935565
PLEKHA7	68868	5677	10788	66600	2872	409	2336	11076	0	2905	1025	636	10591	578	506	3347	11763
RPS13	24529471	9736436	12499788	16623568	12835571	2093895	14106072	1691750	749941	12254770	1002067	100742	35623990	888462	4790503	16170251	10356080
PIK3C2A	318547	232637	246441	335101	141084	19220	154235	90857	10391	115807	19590	2220	180356	32512	43855	113405	128516
NUCB2	456412	1466320	176003	230701	170734	12798	665236	57882	9872	1048947	17650	3011	237478	29469	231423	39482	303339
AC124798.2	155	0	472	924	251	0	51	0	0	0	43	0	571	1050	221	0	233
NCR3LG1	10403	26731	11057	22309	3032	278	10856	1979	0	8587	4420	0	21602	10213	4888	900	8578
AC124798.1	8679	28740	8843	20854	1621	412	14679	2516	217	11677	4083	0	11746	8920	2833	1623	7965
KCNJ11	29	393	0	188	0	0	391	87	0	0	120	0	0	276	0	199	105
ABCC8	0	0	0	0	0	0	568	33	0	0	0	0	0	0	0	347	59
