Cj	qSK	LSC-2	CE	LSC-1	Mel	CF	Ves	MC	SK	IC	nm-cSC	LE	EC	TSK	hnESC	average
VPS39	1362	634	688	1416	281	70	783	65	22	252	36	3	521	137	72	799	446
TMEM87A	5780	2005	3091	5543	1659	366	1930	222	80	1204	109	22	4633	196	354	2820	1875
GANC	1510	322	894	2200	263	96	380	31	18	154	38	2	718	34	29	758	465
CAPN3	465	116	331	388	174	753	69	24	8	15	18	4	129	17	1	28	158
ZNF106	3159	2709	1495	2682	1029	568	2572	151	77	2093	125	36	1770	306	565	3133	1404
SNAP23	3628	1122	2284	3562	1045	203	1731	223	58	830	175	17	2582	130	235	3044	1304
AC018362.1	209	118	105	182	73	28	96	20	9	62	30	4	29	4	24	37	64
LRRC57	1961	659	1177	2047	501	83	884	74	14	314	45	8	1114	93	178	1313	654
HAUS2	1781	661	1117	1644	569	97	784	85	14	744	72	8	1832	82	344	1852	730
AC018362.2	28	16	13	40	20	2	8	2	1	17	4	0	35	0	6	27	13
STARD9	29	321	21	36	49	29	386	109	22	56	31	10	11	14	23	461	100
CDAN1	364	137	256	314	108	6	198	7	8	52	9	5	120	25	14	557	136
AC090510.2	0	4	0	0	0	0	7	3	0	0	0	0	0	0	0	6	1
TTBK2	1258	772	998	962	436	69	1088	77	28	343	53	10	435	81	109	547	454
AC090510.1	19	6	7	9	4	1	19	1	1	13	0	0	22	0	4	18	7
UBR1	1135	512	634	950	398	70	1036	90	45	202	51	14	225	83	104	1857	462
AC068724.3	5	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM62	811	141	368	1001	102	42	218	36	9	81	13	4	487	26	42	665	252
AC068724.1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNDBP1	4216	1907	1816	4470	767	305	2331	140	54	1212	110	19	2221	195	417	2643	1426
EPB42	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
TGM5	375	2	26	260	9	2	2	3	0	0	0	0	112	0	0	13	50
LCMT2	372	154	201	316	112	14	274	12	3	48	5	1	178	46	12	356	131
ADAL	1243	796	1124	1689	397	66	757	53	15	479	27	5	893	180	82	1052	553
ZSCAN29	617	197	363	606	152	24	343	15	6	95	11	1	203	44	45	464	199
TUBGCP4	1302	410	826	1141	432	72	960	38	18	262	20	7	671	90	114	1326	480
TP53BP1	1056	710	923	1040	488	78	1251	48	15	574	23	5	474	226	142	1223	517
MAP1A	44	776	30	31	63	16	1202	18	79	527	6	14	23	153	92	1879	309
PPIP5K1	623	144	452	784	134	18	140	16	7	72	12	1	182	82	13	378	191
CKMT1B	1821	7	1173	2311	318	13	7	13	0	5	6	0	1321	126	2	1179	518
STRC	111	34	147	88	43	2	19	3	1	16	0	0	38	30	3	10	34
CATSPER2	785	156	594	790	243	20	180	16	4	36	12	2	356	69	12	228	218
AC011330.2	239	53	173	278	50	6	77	2	1	13	4	0	94	11	5	0	62
CKMT1A	2200	16	1515	2718	399	26	16	11	1	4	8	1	1510	105	1	972	593
PDIA3	9510	4629	5395	8685	2940	568	4548	396	147	3569	312	47	8673	501	1274	3598	3424
ELL3	239	223	161	513	91	4	32	11	1	117	1	0	127	8	14	1	96
SERF2	11752	5504	6352	10837	4014	801	5400	631	274	4085	490	71	11196	764	1313	3804	4205
SERINC4	22	13	8	11	7	3	8	4	1	10	1	0	10	2	4	9	7
HYPK	929	432	620	789	383	53	431	36	20	226	26	7	993	84	166	506	356
MFAP1	4061	1399	1987	4474	928	132	1694	108	42	964	82	10	1300	215	355	2428	1261
WDR76	216	240	409	298	182	31	179	33	11	137	9	0	321	25	73	981	196
FRMD5	23	0	6	3	2	1	11	0	0	1	0	3	6	0	0	51	6
CASC4	5163	2154	2304	4710	1191	109	2422	164	71	1019	126	21	2449	229	290	998	1463
AC025043.1	10	11	1	12	0	0	0	0	1	0	0	0	0	0	0	0	2
CTDSPL2	3145	874	1717	2972	858	122	1006	117	35	561	65	4	1839	151	207	2004	979
AC025430.1	4	0	0	3	3	0	3	0	0	0	0	0	0	0	0	0	0
EIF3J-DT	2150	1102	1276	2069	779	95	1270	106	42	723	45	17	1123	229	186	572	736
EIF3J	7534	3074	4032	8360	1934	278	3156	305	109	3418	199	35	7878	453	1172	3319	2828
AC009996.1	215	70	125	226	91	19	75	11	1	30	13	2	116	44	10	0	65
SPG11	2983	631	1306	2542	520	74	1134	91	32	194	73	6	811	97	47	1023	722
PATL2	157	14	66	182	28	2	19	2	0	0	24	0	40	0	3	0	33
B2M	11927	5606	6406	10857	4265	824	5557	688	295	4102	523	81	11197	678	1408	1583	4124
TRIM69	1520	408	508	1301	265	48	532	59	26	163	43	5	650	128	38	306	375
SORD	2439	169	756	711	367	82	618	21	11	86	20	0	722	64	29	356	403
DUOX2	2093	38	66	1207	67	13	40	9	5	4	7	4	21	0	0	0	223
DUOXA2	322	0	2	22	4	0	2	2	0	0	1	0	0	0	0	0	22
DUOXA1	1785	21	520	968	319	17	82	6	1	7	5	2	500	0	0	24	266
DUOX1	2253	221	1221	2495	467	38	249	17	5	71	20	6	828	48	18	34	499
AC051619.6	70	43	7	23	19	13	64	1	1	47	1	0	25	13	7	0	20
SHF	587	608	77	99	247	79	516	25	12	375	6	6	98	179	165	301	211
AC051619.7	20	16	30	35	3	1	7	1	0	1	2	0	44	8	0	0	10
AC051619.8	39	29	11	82	5	0	18	5	0	5	2	0	15	0	0	0	13
AC051619.5	100	123	191	179	17	10	171	13	3	42	6	4	77	6	4	19	60
SLC28A2	24	10	5	46	6	0	22	2	1	0	0	0	6	0	2	19	8
AC051619.11	9	2	2	9	1	0	0	0	0	0	0	0	4	0	0	0	1
GATM	1749	123	140	1083	222	59	71	19	10	17	90	25	334	43	2	81	254
AC025580.3	95	22	44	126	13	5	22	4	4	2	7	0	17	2	3	41	25
SPATA5L1	850	154	373	758	222	39	481	25	9	233	25	2	399	26	70	1008	292
C15orf48	3024	104	151	1628	79	17	1109	20	5	69	176	2	341	89	141	81	439
AC025580.1	118	2	2	13	1	0	4	0	0	0	4	0	0	0	1	3	9
AC025580.2	184	5	1	75	1	1	15	0	0	0	15	0	4	0	12	0	19
SLC30A4	718	321	402	864	133	36	505	36	5	196	25	7	473	60	67	42	243
AC090527.3	22	5	10	21	13	2	24	3	0	0	14	1	21	8	0	8	9
BLOC1S6	3585	1941	2239	3663	1132	233	2128	169	59	1489	162	25	2372	287	617	1281	1336
SQOR	5068	614	1623	4389	811	57	2066	162	39	621	111	15	2830	33	214	14	1166
AC068722.2	57	11	10	19	22	0	5	0	1	5	3	0	34	1	3	0	10
SEMA6D	55	289	240	119	14	31	100	43	50	33	11	6	41	152	19	268	91
AC084882.1	0	9	0	2	0	1	4	1	0	0	0	0	0	0	0	0	1
AC092078.3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
SLC24A5	18	11	2	10	9	415	4	2	0	1	1	0	11	7	1	0	30
MYEF2	64	326	13	59	2	33	692	24	9	106	17	5	38	200	68	234	118
CTXN2	13	0	0	1	0	0	0	0	0	0	0	0	0	4	0	2	1
AC023355.1	25	35	19	30	20	2	78	3	2	21	5	0	14	3	11	37	19
DUT	8895	3237	5017	8537	2532	443	3273	315	137	2547	152	33	8123	362	510	3269	2961
FBN1	52	599	346	46	10	16	2736	97	52	177	2	5	167	16	50	117	280
AC022467.1	0	2	0	1	0	0	11	0	0	3	0	0	4	0	3	0	1
AC084757.3	1	3	3	1	0	1	42	0	0	0	0	1	2	0	0	0	3
CEP152	380	96	396	288	119	19	484	28	2	57	34	1	84	20	31	1237	204
SHC4	23	9	7	12	5	22	44	3	0	0	0	34	11	262	0	4	27
EID1	9588	4361	5611	9362	3185	762	4694	488	254	2957	273	57	9038	452	1150	2467	3418
SECISBP2L	3975	1166	1587	3718	726	224	1710	150	37	582	70	43	1486	225	188	1065	1059
COPS2	6045	2125	3417	5876	2196	366	2795	251	92	2051	139	19	6745	218	600	2829	2235
GALK2	1352	749	696	1225	420	95	1163	54	15	397	26	7	540	172	91	1116	507
FAM227B	848	396	679	899	252	36	376	22	4	163	11	0	521	42	36	238	282
AC022306.2	45	59	28	37	25	0	110	5	1	11	4	0	11	11	5	65	26
AC022306.3	7	5	5	2	4	2	27	0	0	0	0	0	2	0	2	0	3
FGF7	187	201	59	129	55	7	2655	21	157	294	4	2	15	635	22	162	287
DTWD1	2956	1178	1707	2768	1026	100	2665	88	121	1238	52	6	1385	80	254	2288	1119
ATP8B4	112	2	110	34	68	1	240	3	20	3	76	0	95	1	3	23	49
SLC27A2	1692	2	17	445	10	4	10	8	3	0	8	0	116	15	0	6	146
GABPB1	1552	523	987	1285	459	46	779	59	20	726	50	5	3009	59	260	1825	727
GABPB1-IT1	3708	1128	1908	3629	855	192	1509	122	54	536	138	16	2674	273	247	0	1061
GABPB1-AS1	5678	1952	3009	5184	1801	179	2671	248	112	1308	173	15	2135	345	449	1867	1695
AC022087.1	41	33	25	56	14	1	59	3	1	25	1	0	5	6	5	16	18
USP8	4830	2002	2722	4888	1250	209	2300	186	59	1304	145	17	3427	312	455	2557	1666
TRPM7	2316	1191	1499	2031	983	133	1476	109	40	925	103	15	1089	158	305	2076	903
AC084756.1	3	10	3	11	4	1	0	1	1	6	0	0	0	0	0	1	2
SPPL2A	5139	1786	2353	4707	1775	200	2375	198	72	1396	154	22	4107	174	491	2665	1725
AC021752.1	63	41	48	91	22	4	57	10	4	4	0	2	22	0	5	8	23
AP4E1	845	334	555	1055	210	26	420	27	13	235	32	1	311	59	62	864	315
TNFAIP8L3	149	85	165	56	32	1	836	42	15	20	10	1	228	0	5	15	103
GLDN	12	68	10	14	4	1	346	7	2	20	64	1	3	0	2	0	34
DMXL2	644	240	439	559	114	30	759	34	13	67	54	2	169	71	16	659	241
SCG3	1	0	0	4	0	1	8	3	0	0	0	2	2	0	0	231	15
LYSMD2	2788	398	1824	2505	544	47	593	105	40	470	97	10	1729	47	104	187	718
TMOD2	379	186	434	622	122	28	251	59	9	84	37	42	231	15	16	85	162
TMOD3	8591	2311	4542	8716	1543	191	2563	348	95	2756	164	10	5548	367	565	2870	2573
AC090971.5	19	1	11	20	2	1	0	2	0	4	1	0	1	0	0	0	3
AC090971.2	6	5	2	30	2	0	0	1	1	0	0	0	0	0	0	7	3
AC090971.1	50	18	15	44	8	0	2	0	1	16	1	0	8	1	3	13	11
LEO1	2784	659	1371	2695	628	79	1513	55	15	769	33	1	881	146	212	1702	846
MAPK6	6820	1164	4272	7330	1795	221	1686	140	30	861	182	11	7677	191	343	2539	2203
MAPK6-DT	8	3	6	5	1	1	1	1	0	0	1	0	3	7	0	0	2
AC090970.2	51	21	19	34	22	2	14	4	0	4	6	0	25	18	1	5	14
AC090970.1	19	5	6	11	4	1	1	0	0	0	0	0	0	0	0	0	2
AC023906.5	65	22	11	38	11	0	9	3	0	28	1	0	3	10	6	3	13
AC023906.2	69	0	159	100	23	1	0	0	0	0	0	0	97	0	0	0	28
BCL2L10	727	17	738	899	264	7	13	2	0	12	5	0	713	12	1	94	219
GNB5	2549	888	2276	3394	844	78	938	75	36	388	29	4	2655	270	118	1198	983
AC023906.3	21	9	10	19	12	2	7	2	0	4	0	0	7	3	0	5	6
CERNA1	261	189	219	298	66	5	74	4	4	63	3	0	263	41	27	30	96
MYO5C	1496	38	225	1494	27	9	25	227	2	8	9	1	96	148	2	573	273
MYO5A	1668	363	1036	3610	753	548	430	130	7	155	88	6	949	68	66	2290	760
ARPP19	8194	2280	4665	8730	2070	428	2711	300	101	2003	217	26	7829	276	609	3380	2738
AC025917.1	4	5	0	2	0	0	1	0	0	7	0	0	0	0	0	0	1
FAM214A	3272	1073	1503	2347	628	117	649	176	35	355	94	18	827	197	85	383	734
AC009754.1	57	19	12	22	8	4	11	1	0	0	3	0	0	7	0	0	9
ONECUT1	1	0	0	0	2	3	10	1	0	0	0	0	0	0	3	7	1
WDR72	33	0	0	4	3	0	0	0	1	0	0	1	24	0	0	1263	83
UNC13C	111	18	63	115	61	1	28	1	2	4	0	0	34	5	3	0	27
AC011912.1	24	37	12	49	19	5	41	1	0	36	2	1	21	4	5	0	16
RSL24D1	8477	3756	4837	7846	3560	623	4420	378	186	3305	261	41	8920	273	1207	3366	3216
RAB27A	2172	334	369	576	1064	373	716	123	8	148	90	3	982	16	138	977	505
AC018926.2	112	46	15	39	87	4	89	44	4	6	23	6	12	6	10	0	31
PIGBOS1	1976	852	1186	1962	497	118	1362	70	31	698	54	5	802	82	243	2564	781
PIGB	847	184	731	1139	188	42	358	29	7	67	21	3	835	25	13	285	298
CCPG1	5234	2828	1908	5138	1109	175	2902	243	84	1640	121	28	1827	236	550	2361	1649
AC018926.1	12	1	0	8	1	0	4	0	0	0	0	0	0	0	0	0	1
AC018926.3	20	3	9	22	4	0	5	0	0	3	0	0	1	0	0	0	4
C15orf65	421	156	407	796	93	16	184	9	0	71	6	4	455	28	9	244	181
DNAAF4	131	304	279	240	127	21	105	25	5	200	7	1	221	77	49	356	134
PYGO1	94	603	29	16	204	32	745	4	9	497	3	5	153	41	145	18	162
AC012378.2	0	17	2	0	10	1	31	0	1	3	0	0	4	2	4	0	4
PRTG	17	606	1	10	4	26	265	45	3	310	1	0	6	0	52	44	86
NEDD4	525	1191	418	190	359	27	1726	95	16	1148	12	5	215	15	283	523	421
RFX7	1273	329	781	1052	329	18	548	55	3	118	31	3	460	28	68	332	339
TEX9	614	339	376	362	232	20	208	15	15	163	1	1	392	48	56	172	188
AC084782.1	7	4	8	5	6	0	8	0	1	0	2	1	5	0	0	3	3
MNS1	152	398	264	64	105	19	253	4	7	377	1	7	270	11	57	174	135
AC084782.3	13	4	10	8	9	0	5	0	0	0	0	0	7	0	0	0	3
ZNF280D	3055	1077	1300	1957	912	116	1640	170	65	377	72	12	946	117	167	589	785
AC090517.2	113	62	56	91	72	5	170	10	3	22	5	1	58	3	12	0	42
AC090517.5	372	309	261	290	177	21	198	13	6	192	8	1	414	43	45	0	146
AC010999.2	37	13	11	20	20	4	22	4	1	6	0	0	28	12	3	105	17
AC010999.1	14	14	6	5	6	0	5	2	0	1	0	0	1	7	1	0	3
TCF12	3200	2629	1807	2641	973	92	1675	134	44	957	85	10	1498	162	245	1665	1113
LINC00926	89	128	59	58	43	3	128	9	2	37	9	0	20	7	19	176	49
CGNL1	255	499	23	144	106	3	169	22	1	110	3	9	68	303	52	2578	271
MYZAP	568	81	25	1364	9	4	16	28	0	21	6	0	31	49	14	41	141
GCOM1	469	38	17	829	11	3	27	31	1	27	4	0	60	26	14	4	97
POLR2M	2155	803	1371	2446	678	142	1429	120	51	537	53	9	1882	165	205	1357	837
AC090651.1	1	0	0	6	3	1	0	0	1	0	0	0	0	0	0	6	1
ALDH1A2	88	35	53	54	15	3	38	61	0	3	8	1	106	81	2	5	34
AQP9	3	0	0	6	0	0	1	0	0	4	37	0	0	3	0	0	3
LIPC	76	14	57	32	29	1	214	1	1	0	1	0	56	0	0	0	30
AC018904.1	4	4	0	5	1	0	1	0	1	2	0	0	0	0	0	0	1
ADAM10	5182	1231	2907	5957	896	214	1883	288	51	532	137	22	3313	160	205	2195	1573
AC090515.2	134	48	129	142	28	4	22	2	0	10	3	1	219	12	1	133	55
MINDY2	4244	2211	3372	5343	1258	177	1870	199	54	1137	90	41	2866	206	139	2987	1637
AC090515.4	6	2	14	7	3	1	1	0	0	0	0	0	6	0	0	67	6
RNF111	2250	658	976	2164	489	49	781	61	21	572	61	0	594	77	160	1074	624
SLTM	8165	2563	4714	8134	2208	276	2580	306	100	2193	196	29	5778	435	675	3346	2606
CCNB2	61	17	391	57	10	2	195	0	0	3	9	0	168	1	0	2815	233
AC092757.3	38	4	39	29	13	5	5	1	1	3	1	0	83	1	0	3	14
AC092757.2	3	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0
MYO1E	2421	393	2247	3010	445	162	758	97	25	458	41	14	1782	69	96	1979	874
AC092756.1	270	6	145	369	76	6	24	17	1	0	9	1	202	2	0	0	70
AC092868.2	612	26	604	838	154	36	50	39	3	2	16	4	545	12	2	0	183
FAM81A	42	3	55	41	16	4	23	0	2	0	0	0	40	0	0	139	22
GCNT3	2323	7	10	889	31	4	29	7	1	0	2	0	37	0	1	62	212
GTF2A2	9191	3625	5038	9321	2326	385	3267	309	124	3286	163	30	7948	391	967	3516	3117
BNIP2	5957	2177	3578	6451	1649	270	2399	329	67	1440	162	29	5520	227	608	2650	2094
AC092755.2	10	1	6	12	0	1	0	0	0	0	1	0	6	0	0	0	2
FOXB1	9	148	3	3	1	0	5	0	0	42	1	0	3	0	0	43	16
ANXA2	11899	5269	6600	10887	4192	780	4976	633	249	3760	415	74	11150	404	1131	3600	4126
ICE2	2703	649	1737	2377	761	111	1378	117	32	295	68	6	1279	86	99	2082	861
RORA-AS1	85	7	52	85	20	1	22	1	0	12	6	3	12	0	2	100	25
RORA	9135	2033	5220	9544	2162	192	1930	234	49	1141	169	11	8474	487	331	507	2601
AC107241.1	14	0	2	6	2	1	3	1	0	0	0	0	0	0	2	21	3
AC009560.1	387	19	259	556	24	5	10	6	0	8	1	0	348	13	10	11	103
AC009560.3	9	9	6	14	4	0	0	0	0	0	1	0	1	0	0	0	2
AC022898.2	47	8	30	34	7	0	5	1	1	0	0	0	6	2	0	0	8
AC012404.1	12	15	13	16	2	1	8	0	1	0	0	0	0	0	0	6	4
AC012404.2	1	6	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0
AC104574.2	3	98	0	6	0	0	61	0	1	65	0	0	0	0	0	0	14
AC018618.1	0	43	0	4	1	0	55	0	0	6	0	0	0	0	0	0	6
VPS13C	5228	1435	2256	4760	1200	190	2132	262	92	612	203	26	1709	236	210	707	1328
AC104590.1	38	4	26	62	5	0	16	3	2	9	0	0	53	3	2	0	13
C2CD4A	355	7	68	95	127	10	76	17	1	6	3	2	196	21	16	0	62
C2CD4B	565	7	17	92	69	6	75	253	2	0	2	1	49	328	18	44	95
AC032011.1	7	0	3	4	3	1	39	3	0	0	1	0	0	2	0	4	4
TLN2	221	175	442	674	95	27	1035	33	3	54	19	5	196	26	22	1835	303
AC103740.1	5	6	4	7	2	2	20	1	1	4	0	0	0	1	4	20	4
TPM1	3905	1221	2381	5195	550	114	2984	222	272	1085	44	27	4062	436	352	3608	1653
LACTB	4189	1213	2465	4187	801	135	1779	160	70	1688	151	25	2996	239	398	1930	1401
RPS27L	9876	4689	5673	8896	2946	652	4341	474	257	3592	299	47	9331	637	1102	3692	3531
RAB8B	2667	1135	1677	3028	590	82	1629	146	51	1284	214	7	1767	90	309	591	954
APH1B	1657	936	1287	1864	431	147	1145	69	35	410	55	6	1077	115	110	61	587
CA12	3755	856	613	435	1644	43	2022	20	6	358	8	0	1654	779	326	11	783
LINC02568	121	6	2	5	11	0	3	2	0	2	1	0	3	60	0	3	13
AC007950.2	71	42	17	32	17	6	46	5	3	25	8	1	86	9	5	0	23
USP3	3790	1105	1518	3280	861	143	1427	112	45	1268	127	6	3032	151	296	115	1079
USP3-AS1	193	48	116	252	42	3	47	7	3	46	5	0	119	19	7	11	57
FBXL22	529	43	80	434	46	12	62	7	5	25	8	2	121	19	4	41	89
HERC1	1770	866	1135	1952	641	129	1356	105	34	273	124	16	598	221	68	1396	667
DAPK2	2640	17	579	1766	321	17	268	16	2	9	26	1	935	2	5	244	428
AC015914.1	6	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
CIAO2A	3484	714	2125	4145	535	143	1266	91	17	658	102	6	2896	110	221	0	1032
SNX1	3651	1083	1895	3666	862	178	1686	131	65	714	90	20	2452	171	205	595	1091
SNX22	32	38	11	37	13	2	33	0	0	10	3	3	24	5	5	56	17
PPIB	9068	4612	5105	8664	2968	529	5044	449	218	3686	333	49	8247	442	1346	3697	3403
CSNK1G1	2046	383	1306	2276	491	59	718	51	13	305	33	7	1389	42	102	573	612
PCLAF	908	45	780	1569	55	11	484	11	0	15	12	3	626	12	3	53	286
TRIP4	1890	454	1020	2194	343	68	729	60	16	207	34	8	1213	57	98	595	561
ZNF609	1840	476	1418	1663	599	93	1074	61	22	294	55	2	829	81	69	840	588
OAZ2	3948	1522	2872	3488	1682	260	1965	208	148	1178	104	16	5628	295	266	1801	1586
AC100830.2	13	2	4	4	4	0	7	0	0	1	0	0	0	0	0	5	2
AC100830.1	24	17	13	17	14	5	8	5	5	6	3	0	16	0	0	781	57
RBPMS2	17	8	2	12	12	6	48	5	33	16	1	0	17	1	14	2776	185
PIF1	20	14	48	17	7	2	336	0	2	3	7	1	17	0	0	2594	191
PLEKHO2	561	366	205	338	257	122	721	171	10	109	95	13	257	18	95	680	251
AC069368.2	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ANKDD1A	483	238	130	259	221	32	566	83	8	186	35	13	111	13	23	86	155
AC103691.1	131	36	89	201	31	9	50	6	1	0	11	0	21	1	4	524	69
SPG21	3822	1109	2433	3560	981	287	2351	145	39	732	115	7	4759	234	282	2653	1469
MTFMT	1210	414	782	1210	365	52	1001	38	16	320	18	9	961	93	110	1855	528
RASL12	3	3	1	4	0	0	65	9	68	2	0	8	0	0	0	18	11
AC013553.4	8	4	0	2	5	0	2	0	0	6	0	0	3	8	0	4	2
UBAP1L	149	110	102	132	93	3	149	7	9	36	6	0	30	27	14	185	65
PDCD7	3404	1449	1791	3087	1285	167	2336	145	53	944	84	10	1161	192	406	2814	1208
CLPX	3016	795	1525	3303	672	125	1494	90	40	465	60	16	1232	208	147	2978	1010
CILP	20	0	11	76	6	0	54	2	0	0	1	0	3	1	0	3	11
PARP16	714	218	447	638	267	17	267	21	9	129	12	1	526	40	28	771	256
IGDCC3	0	0	1	0	5	5	4	0	1	0	1	0	2	0	0	447	29
IGDCC4	3	3	1	1	2	6	157	0	1	0	0	0	1	0	0	73	15
DPP8	3287	735	1472	3237	726	142	1386	174	44	363	65	8	1824	129	214	1400	950
HACD3	5197	1601	3117	4369	1423	370	2103	193	31	1142	51	15	3540	282	353	2968	1672
INTS14	2011	451	1376	1924	536	60	958	58	8	401	32	5	1483	77	84	1247	669
SLC24A1	311	159	215	226	104	14	213	66	4	40	8	1	87	30	12	299	111
AC011939.3	18	2	8	7	8	1	4	3	0	1	1	0	4	0	0	3	3
DENND4A	3455	980	1960	3412	1019	89	1055	141	20	560	151	11	1844	105	169	690	978
RAB11A	10182	2479	5405	9867	2683	392	2923	504	92	2133	190	25	8543	375	552	3439	3111
AC011939.2	1309	124	538	883	291	40	183	58	10	19	38	4	151	28	5	0	230
MEGF11	22	12	10	20	6	0	21	4	0	7	0	0	0	0	2	19	7
DIS3L	1181	300	753	1070	343	38	481	32	15	102	25	6	801	71	21	1350	411
TIPIN	935	473	581	889	325	31	829	51	21	443	19	2	546	58	171	1783	447
MAP2K1	2725	990	1771	2744	783	94	1353	92	36	735	155	9	4350	228	251	1963	1142
AC116913.1	241	89	154	239	41	8	54	4	2	13	7	1	97	27	14	427	88
SNAPC5	3169	980	1293	3017	575	118	1547	99	53	565	40	8	1724	173	301	2357	1001
RPL4	11468	4902	6217	10419	4197	799	5090	621	274	3493	475	66	11119	618	1343	3745	4052
ZWILCH	797	188	621	943	135	20	393	27	9	97	22	2	622	20	39	2221	384
LCTL	14	20	13	21	8	3	25	0	0	7	1	0	14	3	2	134	16
SMAD6	24	337	90	26	65	4	243	26	3	29	1	0	18	104	4	105	67
AC110048.2	1	20	2	3	0	0	34	0	0	3	0	0	0	0	0	3	4
LINC02206	6	4	20	10	2	0	0	1	0	0	0	0	23	3	0	0	4
AC087482.1	118	10	143	145	17	1	16	1	1	6	4	0	57	40	3	15	36
SMAD3	6308	1445	4469	6941	1319	118	1543	118	41	651	88	5	7699	183	322	648	1993
AC012568.1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0
AAGAB	2674	640	1830	3478	423	79	755	55	16	518	33	2	2226	153	145	1775	925
IQCH	154	98	172	165	40	3	45	11	1	50	1	0	110	20	10	118	62
IQCH-AS1	891	287	682	1487	155	19	439	18	7	70	12	0	262	59	9	472	304
C15orf61	3875	1656	2733	4669	1262	132	2274	104	40	1504	61	3	3502	234	237	2780	1566
AC016355.1	146	21	76	214	16	4	36	0	0	7	2	2	93	16	3	22	41
MAP2K5	948	255	599	887	331	51	960	38	12	141	24	4	938	60	42	535	364
SKOR1	12	8	3	5	5	0	11	0	0	0	1	0	0	2	0	26	4
PIAS1	4019	1837	2058	3397	1509	147	1654	165	55	699	127	9	2485	162	202	1963	1280
CALML4	665	264	348	290	211	43	369	156	3	249	19	0	262	44	51	23	187
CLN6	1238	405	995	1360	423	202	622	45	12	245	50	4	1288	38	111	1066	506
AC107871.2	67	9	21	65	12	3	5	0	0	2	0	0	9	3	0	14	13
FEM1B	3532	984	2302	3679	1052	298	1278	112	49	615	70	10	3514	167	174	2261	1256
ITGA11	41	798	6	39	7	4	2204	4	7	336	6	0	13	0	155	30	228
CORO2B	152	272	378	228	19	68	262	6	2	87	2	5	219	0	38	9	109
ANP32A	7261	1696	4089	7907	1739	417	1770	210	79	1107	182	29	5161	242	373	3124	2211
SPESP1	513	162	531	702	99	16	44	11	9	36	4	0	352	20	77	276	178
NOX5	67	25	18	126	1	2	3	1	0	0	0	0	34	0	0	6	17
EWSAT1	75	11	77	40	26	2	3	1	0	4	0	0	62	10	0	28	21
GLCE	3663	855	3106	2805	1830	142	528	92	18	584	38	5	4468	111	133	1090	1216
PAQR5	463	5	573	1937	15	6	242	9	0	5	4	0	460	0	4	29	234
AC027237.3	15	45	24	25	6	1	46	0	1	17	1	1	14	9	2	50	16
KIF23	77	31	364	107	23	6	147	0	2	13	10	0	163	27	8	2484	216
RPLP1	11951	5628	6616	10903	4275	827	5582	687	297	4103	523	81	11278	771	1413	3817	4297
AC027237.2	16	6	3	7	7	0	2	0	0	4	0	0	5	0	0	5	3
DRAIC	120	34	90	112	23	3	21	5	1	21	10	1	67	10	4	24	34
TLE3	3030	1090	2086	3263	1152	148	940	111	33	715	112	28	3339	9	127	2469	1165
AC009434.1	1	6	1	0	0	1	6	0	1	0	1	0	0	0	0	0	1
SALRNA2	12	1	16	15	5	1	16	0	2	3	0	0	8	0	0	16	5
UACA	4657	1090	3838	5802	639	231	2110	332	111	501	43	20	1629	367	100	3023	1530
AC009269.2	3	3	2	12	3	0	11	1	1	0	1	0	0	0	0	9	2
AC009269.5	57	10	84	115	9	5	8	9	0	0	2	1	8	9	0	0	19
LARP6	724	3843	504	211	670	75	3494	122	49	3195	14	15	1362	229	1104	3113	1170
AC009269.4	4	37	7	0	3	1	34	3	0	8	0	0	13	0	3	0	7
LRRC49	210	501	311	146	211	7	536	28	10	364	4	3	194	45	130	265	185
THAP10	338	144	228	272	91	13	170	14	1	120	3	2	174	26	24	283	118
THSD4	256	156	65	56	40	4	779	14	1	18	2	5	43	16	13	171	102
AC108861.1	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
NR2E3	10	13	2	0	4	1	13	0	0	9	0	0	0	0	0	23	4
AC104938.1	2	3	0	2	0	0	3	2	0	3	0	0	0	0	0	8	1
MYO9A	1521	1010	1108	1564	764	82	1272	130	44	364	34	18	464	96	94	1725	643
SENP8	284	107	220	297	107	9	222	12	4	30	4	2	79	19	10	643	128
GRAMD2A	80	98	221	47	159	1	17	3	1	11	1	0	123	12	2	36	50
PKM	11306	4907	6496	10438	3958	492	4698	412	172	3263	316	36	11073	746	1183	3542	3939
PARP6	1924	522	1240	1883	602	77	777	61	15	415	49	7	1664	106	178	884	650
AC009690.2	5	3	0	8	1	0	1	1	0	0	1	0	0	0	0	4	1
CELF6	241	110	98	129	98	14	48	14	3	28	18	2	48	18	14	0	55
HEXA	3722	1904	2234	3053	1266	400	3228	242	44	932	163	23	2306	187	411	2232	1396
